trip_id,lat,lon,pickup_time,dropoff_time,distance_km,duration_sec,cost,car_model,car_cat,gender,gps_points,max_speed,avg_speed
1195923,,,2016-01-31 13:13:20,2016-01-31 13:24:31,6.14,0,,Innova,,female,133,148.8,33.1
1195864,,,2016-01-31 11:12:19,2016-01-31 11:50:25,10.98,0,,Elentra,,N/A,456,129.2,17.4
1195745,,,2016-01-31 06:45:47,2016-01-31 07:36:55,38.2,0,,Elentra,,female,633,125.7,43.8
1195717,,,2016-01-31 04:34:20,2016-01-31 09:34:40,54.47,0,,Taurus,,female,1498,142.5,6.1
1195700,,,2016-01-31 03:36:29,2016-01-31 05:05:49,37.87,0,,SONATA,,N/A,1050,149.6,24.7
1195607,,,2016-01-30 19:23:36,2016-01-30 19:44:29,11.19,0,,Yukon,,female,230,124.9,32.2
1195582,,,2016-01-30 18:50:11,2016-01-30 19:45:47,27.6,0,,Yukon,,N/A,667,494.8,29.5
1195543,,,2016-01-30 17:28:09,2016-01-30 17:59:41,13.83,0,,Yukon,,female,397,144.9,26.2
1195527,,,2016-01-30 17:19:06,2016-01-30 18:03:51,27.87,0,,Yukon,,N/A,556,118.1,36.5
1195260,,,2016-01-30 05:54:59,2016-01-30 05:59:50,1.91,0,,Yukon,,N/A,57,62.2,23.7
1195232,,,2016-01-30 04:59:25,2016-01-30 05:21:05,15.84,0,,Yukon,,female,259,136.9,43.2
1195193,,,2016-01-30 01:16:18,2016-01-30 02:19:50,23.37,0,,Yukon,,female,742,112.7,22.1
1195170,,,2016-01-30 00:30:07,2016-01-30 01:04:38,19.97,0,,Yukon,,female,394,133.9,34.6
1195167,,,2016-01-30 00:20:37,2016-01-30 00:43:15,16.79,0,,Yukon,,female,251,106.0,44.5
1195084,,,2016-01-29 21:37:39,2016-01-29 22:07:36,39.65,0,,Yukon,,female,318,123.5,59.8
1195412,,,2016-01-30 16:09:25,2016-01-30 16:52:30,21.19,0,,Yukon,,female,515,117.9,27.8
1195628,,,2016-01-30 20:26:47,2016-01-30 21:26:38,50.12,0,,Yukon,,N/A,698,151.6,48.6
1195346,,,2016-01-30 11:59:03,2016-01-30 12:28:27,33.08,0,,Yukon,,male,371,117.4,67.7
1195219,,,2016-01-30 03:31:57,2016-01-30 03:53:27,25.5,0,,Yukon,,female,277,136.9,69.0
1195646,,,2016-01-30 21:09:13,2016-01-30 21:26:24,18.79,0,,Taurus,,N/A,226,139.7,63.3
1195645,,,2016-01-30 20:58:16,2016-01-30 21:27:01,22.74,0,,Fortuner,,female,363,139.9,44.7
1195644,,,2016-01-30 20:50:27,2016-01-30 21:19:57,33.39,0,,Sonata,,N/A,353,133.7,67.4
1195643,,,2016-01-30 21:10:35,2016-01-30 21:31:49,15.41,0,,Mazda 6,,female,233,116.1,28.1
1195642,,,2016-01-30 20:44:16,2016-01-30 21:03:14,21.05,0,,Taures,,N/A,225,125.7,65.7
1195640,,,2016-01-30 20:56:23,2016-01-30 21:19:26,15.91,0,,Sonata,,female,270,1565.7,26.6
1195639,,,2016-01-30 20:48:04,2016-01-30 21:11:14,22.13,0,,prado,,female,293,157.6,39.5
1195636,,,2016-01-30 20:17:05,2016-01-30 20:43:48,22.42,0,,Elantra,,female,300,497.8,17.9
1195618,,,2016-01-30 19:47:41,2016-01-30 20:57:14,7.2,0,,Fortuner,,N/A,855,84.6,5.9
1195615,,,2016-01-30 20:01:29,2016-01-30 20:10:03,19.04,0,,Fortuner ,,female,181,158.6,42.1
1195612,,,2016-01-30 19:09:35,2016-01-30 19:14:26,2.45,0,,Sonata,,female,58,61.2,30.6
1195611,,,2016-01-30 19:28:03,2016-01-30 21:11:03,25.59,0,,Elentra,,female,1226,155.0,14.7
