name,lat,lon,address,category,types,rating
مجالس أبناء مجلاد بن ناحز رحمه الله,24.4077888,46.8377507,"CR5Q+439, Riyadh",Restaurants,"cafe,store,point_of_interest,food,establishment",5
Dunkin Donuts - 10341,24.412079,46.837508,"حي, 9105 الحائر، الرياض 14581 3232،",Restaurants,"cafe,store,point_of_interest,food,establishment",3.3
مقهى كيف البادية,24.4100112,46.8372508,"CR6P+2W2, Riyadh",Restaurants,"cafe,point_of_interest,food,establishment",4.1
مقهى كوفي شوب,24.4099899,46.8372189,"حي, 8941 طريق الحائر، الحائر، الرياض 14581 3197،",Restaurants,"cafe,point_of_interest,food,establishment",2.9
نسبة البن قهوة مختصه,24.4084569,46.8370741,Riyadh,Restaurants,"cafe,store,point_of_interest,food,establishment",4.6
DESIRER,24.4036466,46.8367824,"RMHA8223، 8223 الحائر، 3155, Riyadh",Restaurants,"cafe,store,point_of_interest,food,establishment",
Desired coffee 4 | قهوة ديزايرد ٤,24.403521,46.8367495,"Al Haeer Road, Riyadh",Restaurants,"cafe,store,point_of_interest,food,establishment",4.6
شركة قصر التوابل للمنتجات الغذائية,24.4065487,46.8684882,Riyadh,Restaurants,"store,point_of_interest,food,establishment",4.3
شركة ذوق للصناعات الغذائية,24.4102612,46.8755383,Riyadh,Other Stores,"store,point_of_interest,establishment",4.4
تشليح القرني,24.4047601,46.85483170000001,"2911 المنصورة, 7128 خلف النحوي, Riyadh",Other Stores,"store,point_of_interest,establishment",
Golden Brown factory,24.4107812,46.8764634,"CV6G+8H8, Riyadh",Restaurants,"bakery,store,point_of_interest,food,establishment",4.3
مؤسسة جلهم للتجارة,24.411059,46.87646679999999,"King Abdulaziz Road, Riyadh",Other Stores,"store,point_of_interest,health,establishment",5
مصنع أفق الورق للمنتجات الورقية,24.4118877,46.8764556,Riyadh,Other Stores,"furniture_store,home_goods_store,store,point_of_interest,establishment",5
شركة قمة المجدل للمنتجات الغذائية KM,24.4113139,46.8768724,"المدينة الصناعية الثالثة, Riyadh",Restaurants,"store,point_of_interest,food,establishment",4.5
تموينات ربيع مبارك الكربي,24.41493200000001,46.8446899,"طريق الحاير حوطة بني تميم, CR7V+XVG, Riyadh",Restaurants,"grocery_or_supermarket,store,point_of_interest,food,establishment",2.3
