latitude,longitude,type,name,district
24.8112986,46.6490175,Residential - Other,Unnamed,
24.8111048,46.6491153,Residential - Other,Unnamed,
24.8113533,46.6491405,Residential - Other,Unnamed,
24.8111558,46.6492447,Residential - Other,Unnamed,
24.8114102,46.6492579,Residential - Other,Unnamed,
24.8112012,46.6493667,Residential - Other,Unnamed,
24.8112531,46.6494825,Residential - Other,Unnamed,
24.8113623,46.6497429,Residential - Other,Unnamed,
24.8115669,46.6496335,Residential - Other,Unnamed,
24.8113164,46.6496138,Residential - Other,Unnamed,
24.8115078,46.6495124,Residential - Other,Unnamed,
24.8114604,46.6493848,Residential - Other,Unnamed,
24.8116205,46.6497643,Residential - Other,Unnamed,
24.8116695,46.6498911,Residential - Other,Unnamed,
24.8117245,46.65002,Residential - Other,Unnamed,
24.8114182,46.6498711,Residential - Other,Unnamed,
24.8114703,46.6499926,Residential - Other,Unnamed,
24.8115214,46.6501184,Residential - Other,Unnamed,
24.8117107,46.6505473,Residential - Other,Unnamed,
24.8119031,46.6504429,Residential - Other,Unnamed,
24.8118433,46.6508712,Residential - Other,Unnamed,
24.8119761,46.6505993,Residential - Other,Unnamed,
24.8117689,46.6507056,Residential - Other,Unnamed,
24.812041,46.6507645,Residential - Other,Unnamed,
24.8120922,46.6509126,Residential - Other,Unnamed,
24.8121379,46.6510219,Residential - Other,Unnamed,
24.8119059,46.6510103,Residential - Other,Unnamed,
24.8119509,46.6511162,Residential - Other,Unnamed,
24.8121883,46.6511305,Residential - Other,Unnamed,
24.8122274,46.6512375,Residential - Other,Unnamed,
24.8122683,46.6513467,Residential - Other,Unnamed,
24.8123095,46.6514614,Residential - Other,Unnamed,
24.8123595,46.6515673,Residential - Other,Unnamed,
24.8124057,46.6516777,Residential - Other,Unnamed,
24.8124651,46.6517844,Residential - Other,Unnamed,
24.8125111,46.6519013,Residential - Other,Unnamed,
24.8125582,46.652015,Residential - Other,Unnamed,
24.812354,46.6521098,Residential - Other,Unnamed,
24.8123049,46.6519874,Residential - Other,Unnamed,
24.8120015,46.6512275,Residential - Other,Unnamed,
24.8120495,46.6513334,Residential - Other,Unnamed,
24.8120923,46.6514333,Residential - Other,Unnamed,
24.8121424,46.6515392,Residential - Other,Unnamed,
24.812187,46.6516503,Residential - Other,Unnamed,
24.8122408,46.6518232,Residential - Other,Unnamed,
24.8128341,46.6526236,Residential - Other,Unnamed,
24.8125903,46.652779,Residential - Other,Unnamed,
24.8126731,46.6530122,Residential - Other,Unnamed,
24.8124673,46.6531048,Residential - Other,Unnamed,
24.8128516,46.6529079,Residential - Other,Unnamed,
24.8129747,46.6528378,Residential - Other,Unnamed,
24.8124314,46.6528475,Residential - Other,Unnamed,
24.812319,46.6529009,Residential - Other,Unnamed,
24.8122126,46.6529582,Residential - Other,Unnamed,
24.8121026,46.6530129,Residential - Other,Unnamed,
24.8119974,46.6530663,Residential - Other,Unnamed,
24.8119044,46.6531214,Residential - Other,Unnamed,
24.8118013,46.6532003,Residential - Other,Unnamed,
24.8116964,46.6532397,Residential - Other,Unnamed,
24.8116042,46.6532859,Residential - Other,Unnamed,
24.8115068,46.6533485,Residential - Other,Unnamed,
24.8114087,46.6533981,Residential - Other,Unnamed,
24.8114891,46.6535874,Residential - Other,Unnamed,
24.8112491,46.6534103,Residential - Other,Unnamed,
24.8112943,46.6535083,Residential - Other,Unnamed,
24.8113375,46.6536188,Residential - Other,Unnamed,
24.8113825,46.6537228,Residential - Other,Unnamed,
24.8115925,46.6535398,Residential - Other,Unnamed,
24.8116883,46.6534959,Residential - Other,Unnamed,
24.8117774,46.653437,Residential - Other,Unnamed,
24.8118807,46.6533931,Residential - Other,Unnamed,
24.8123089,46.6531791,Residential - Other,Unnamed,
24.812202,46.6532323,Residential - Other,Unnamed,
24.8120576,46.6533175,Residential - Other,Unnamed,
24.8115704,46.6540201,Residential - Other,Unnamed,
24.8116571,46.6542599,Residential - Other,Unnamed,
24.8117545,46.6539168,Residential - Other,Unnamed,
24.8125768,46.6535185,Residential - Other,Unnamed,
24.8126563,46.6537268,Residential - Other,Unnamed,
24.8124111,46.6535784,Residential - Other,Unnamed,
24.812306,46.6536335,Residential - Other,Unnamed,
24.8121988,46.653681,Residential - Other,Unnamed,
