lat,lon,parcel_type,parcel_id,landuseagroup,area_sqm
24.734073878,46.643960774,villa,1405017,سكني,1047.7622021978486
24.731576808,46.644151211,villa,1404724,سكني,970.683663281298
24.731055462,46.640532911,villa,1405022,سكني,501.64448156358134
24.735559916,46.645768583,villa,1405023,سكني,1024.62693988709
24.731050589,46.647302806,villa,3421856,سكني,641.5130573071501
24.732867982,46.641112268,villa,1405368,سكني,992.6421871619747
24.730923907,46.64439261,villa,1404702,سكني,775.4250409646968
24.734069006,46.641267836,apartment,1405246,متعدد الاستخدام,1158.581356395202
24.732207779,46.644778848,villa,1405298,سكني,946.5295462878698
24.733401501,46.646184325,villa,1405305,سكني,348.90731338402884
24.735896099,46.646178961,villa,1405371,سكني,988.8458965991917
24.731425764,46.643223166,villa,1411341,سكني,484.66185748763803
24.726792037,46.645446718,villa,3355747,سكني,742.2940975017524
24.726570335,46.644864678,villa,1411428,سكني,449.8109489067417
24.735411313,46.643432379,villa,1411337,سكني,986.6307372028732
24.727476631,46.640047431,villa,1411357,سكني,520.4281301736146
24.73190082,46.64339751,villa,1404717,سكني,968.3898960171402
24.731684,46.643901765,villa,1404731,سكني,975.087645640765
24.732312535,46.644532084,villa,1405295,سكني,948.8951494648275
24.73367435,46.642429233,villa,1411433,سكني,496.3969479261966
24.732159056,46.647249162,apartment,1404656,متعدد الاستخدام,745.4853651916341
24.735121415,46.64575249,villa,1405321,سكني,582.0564029130566
24.733554979,46.645980477,villa,1404693,سكني,985.0528161549415
24.73147936,46.643099785,villa,1404715,سكني,489.01583945552665
24.728665526,46.643223166,villa,1405230,سكني,924.2312868447636
24.735628127,46.644507945,villa,1405479,سكني,1322.7416022544007
24.731342933,46.643413603,villa,1405456,سكني,1009.0005221605005
24.731995832,46.645275056,apartment,1405703,متعدد الاستخدام,940.9118434763251
24.731160218,46.645543277,apartment,1399519,متعدد الاستخدام,563.1996283668994
24.731250358,46.645916104,villa,1399529,سكني,914.584021039407
24.730996993,46.645462811,apartment,3355754,متعدد الاستخدام,588.7728522874417
24.733055567,46.645275056,apartment,1405687,متعدد الاستخدام,839.536800039724
24.730802096,46.640768945,villa,1405337,سكني,797.3168409208121
24.730548731,46.642080545,villa,1405036,سكني,1092.0917057221288
24.73411042,46.645328701,villa,1411342,سكني,445.05334176994234
24.726753056,46.644435525,villa,1399490,سكني,900.0470789517858
24.728412155,46.644540131,villa,1398666,سكني,494.66021069103454
24.727842071,46.645157039,villa,1398673,سكني,922.8274096781676
24.729854409,46.64768368,other,1425989,مرافق المواصلات,2000.0891333961392
24.726736002,46.643609405,villa,1392915,سكني,452.72770041570243
24.734699965,46.64337337,villa,1404696,سكني,966.6846836435401
24.734005666,46.64439261,villa,1404706,سكني,991.393611890705
24.730699776,46.640202999,villa,1405329,سكني,1304.0177094972123
24.729208808,46.643504798,villa,1405434,سكني,603.8350402697475
24.734261461,46.645513773,villa,1411343,سكني,429.15067817880384
24.733942326,46.64696753,villa,1405299,سكني,942.2041838952382
24.730263694,46.642973721,villa,3439640,سكني,641.3230927818406
24.722379847,46.647023857,apartment,14618071,متعدد الاستخدام,4798.739949494421
24.722150828,46.647560298,apartment,14618091,متعدد الاستخدام,4805.834044161265
