place_id,name,lat,lon,address,types,rating
ChIJ223iDn4FLz4RixmJTjgG6L0,Domino's Pizza دومينوز بيتزا,24.603647,46.704694,"3469 Al Aam St, Riyadh","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",4.1
ChIJC2VrFX4FLz4RdpXEjmGndfY,Maestro Pizza,24.60386579999999,46.7056246,"السويدي، 3543 شارع السويدي العام،،, الرياض","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",4
ChIJlcGpyWEFLz4RWNf8RW8AAQs,Bahrya,24.5993098,46.69268950000001,"Al Souweidi Al Aam, Riyadh","restaurant,food,point_of_interest,establishment",3.9
ChIJySAGNeQILz4RgXfApHLBce8,DERATI Restaurants - Al Aziziah branch,24.5957403,46.772965,"العزيزية الشارع العام -جوار العثيم, Riyadh","restaurant,point_of_interest,food,establishment",4.2
ChIJfdPb194ILz4R458bBZVk2n0,KFC,24.5874805,46.76285169999999,"Al-Nasr St.-Azizia, الرياض","restaurant,point_of_interest,food,establishment",3.6
ChIJ106m1t4ILz4RXqg2_kfj8ec,Domino's Pizza دومينوز بيتزا,24.587546,46.76267199999999,"3603 An Nasr Road, Riyadh","meal_delivery,meal_takeaway,restaurant,point_of_interest,food,establishment",3.9
ChIJ9RZr1d4ILz4RF6J6YFlNshw,Maestro Pizza,24.5871905,46.7622902,"An Nasr Road, Riyadh","meal_delivery,meal_takeaway,restaurant,point_of_interest,food,establishment",3.8
ChIJp45CKtkILz4Rksx_qILNEkQ,Jan Burger - جان برجر‎,24.587188,46.762023,"Al Aziya, Riyadh","restaurant,point_of_interest,food,establishment",3.9
ChIJHTo75mwaLz4RTbO2dTGyHRA,Hamburgini هامبرغيني - Al Aziziyah,24.587116,46.7618526,"3523 An Nasr Road, Riyadh","meal_delivery,restaurant,point_of_interest,food,establishment",4
ChIJb5h3J9kILz4RKE38VThGcKo,Furn Al Dayaa,24.5870813,46.7615882,"An Nasr Road, Riyadh","restaurant,point_of_interest,food,establishment",4
ChIJq1cYJ9kILz4RxdJL04le1Rg,Subway,24.5870621,46.7614545,"طريق العزيزية الفرعي, Al Nasr Rd, الرياض","restaurant,point_of_interest,food,establishment",4
